,tweetid,tweet,lan_tag,ftid,sentiment
10,1130814034956021760,@TheVijayMallya @YouTube Are Tu aa rha h ki nhi            Wo modi phir se PM ban gya            Chupchaap aaja sidha sidha            Vrna mo… https//t    co/iQbN2nsr2S,@\O TheVijayMallya\Hin @\O YouTube\Eng Are\Hin Tu\Hin aa\Hin rha\Hin h\Hin ki\Hin nhi\Hin Wo\Hin modi\Hin phir\Hin se\Hin PM\Eng ban\Eng gya\Hin Chupchaap\Hin aaja\Hin sidha\Hin sidha\Hin Vrna\Hin mo\Eng …\O https\Eng //\O t\Eng co\Hin /\O iQbN2nsr2S\Hin ,59,neutral
11,1135098403979898881,@AAPVed @Ankita_Shah8 Bhadve ye photo elections se pehle ki he..jyada gyan mat baat,@\O AAPVed\Hin @\O Ankita\Eng _\O Shah8\Eng Bhadve\Hin ye\Hin photo\Eng elections\Eng se\Hin pehle\Hin ki\Hin he\Hin ..\O jyada\Hin gyan\Hin mat\Hin baat\Hin ,61,negative
12,1131537257020551168,@RahulGandhi WADRAAAA NO TO BAS JAMEEN LI HAI--KISANO KO PAISA NAHI DIYA-AB JI NE FILM INDUSTRY NO 1 TAK PAHUNCHAYI… https//t    co/U3zr9OCvJT,@\O RahulGandhi\Hin WADRAAAA\Hin NO\Hin TO\Hin BAS\Hin JAMEEN\Hin LI\Hin HAI--KISANO\Hin KO\Hin PAISA\Hin NAHI\Hin DIYA-AB\Hin JI\Hin NE\Hin FILM\Hin INDUSTRY\Hin NO\Hin 1\O TAK\Hin PAHUNCHAYI\Hin …\O https\Eng //\O t\Eng co\Eng /\O U3zr9OCvJT\Eng ,62,negative
13,1135208257113526273,Dusting wali safai aapke hafal kharab kardeti hai aur koi exercise bhi nahi hoti. That sucks.  ive gained weight an… https//t.co/BOH9O2oeTp,Dusting\Eng wali\Hin safai\Hin aapke\Hin hafal\Hin kharab\Hin kardeti\Hin hai\Hin aur\Hin koi\Hin exercise\Hin bhi\Hin nahi\Hin hoti\Hin .\O That\Eng sucks\Eng .\O ive\Eng gained\Eng weight\Eng an\Eng …\O https\Eng //\O t\Eng .\O co\Eng /\O BOH9O2oeTp\Eng ,69,negative
14,1134448231763591169,@sanjaynirupam Ab to shamajh jaye Rahul Gandhi kis baat k liye udash hai wo evm jeeta hai modi nahi 70%log khush na… https//t.co/EJx4MLtr14,@\O sanjaynirupam\Hin Ab\Hin to\Hin shamajh\Hin jaye\Hin Rahul\Hin Gandhi\Eng kis\Hin baat\Hin k\Hin liye\Hin udash\Hin hai\Hin wo\Hin evm\Hin jeeta\Hin hai\Hin modi\Hin nahi\Hin 70\O %\O log\Hin khush\Hin na\Hin …\O https\Eng //\O t\Eng .\O co\Eng /\O EJx4MLtr14\Eng ,71,negative
15,1131204364306006016,@Sunita_Sharma1 @sardanarohit @Kavita_Sharma4 SUNITA JI KAL JAB EVM KI SEAL TUTEGI TO JYADA DARD GODI MEDIA KE ANCHOR KO HOGA,@\O Sunita\Eng _\O Sharma1\Eng @\O sardanarohit\Eng @\O Kavita\Hin _\O Sharma4\Hin SUNITA\Hin JI\Hin KAL\Hin JAB\Hin EVM\Eng KI\Hin SEAL\Hin TUTEGI\Hin TO\Hin JYADA\Hin DARD\Hin GODI\Hin MEDIA\Hin KE\Hin ANCHOR\Hin KO\Hin HOGA\Hin ,77,negative
16,1131534307602731008,Narender modi ji ko pure bhumat se jeet par bhut bhut bdhayi https//t.co/6AAUDuTxbp,Narender\Eng modi\Eng ji\Hin ko\Hin pure\Hin bhumat\Hin se\Hin jeet\Hin par\Hin bhut\Hin bhut\Hin bdhayi\Hin https\Eng //\O t\Eng .\O co\Eng /\O 6AAUDuTxbp\Eng ,80,positive
17,1133987082433486848,@Ahmedshabbir20 Accha kiya                 Invite nai kiya                 Most corrupted party in indian history                 Good politics from @BJP4India             Well done,@\O Ahmedshabbir20\Eng Accha\Eng kiya\Hin Invite\Hin nai\Hin kiya\Hin Most\Eng corrupted\Eng party\Eng in\Eng indian\Eng history\Eng Good\Eng politics\Eng from\Eng @\O BJP4India\Eng Well\Eng done\Eng ,81,negative
18,1134113675134980097,RT @Meetinsan107 #TheGiftOfEducation Volunteer of Dera Sacha sauda sirsa open free coaching center for needy people @gurmeetramrahim http…,RT\Eng @\O Meetinsan107\Eng #\O TheGiftOfEducation\Eng Volunteer\Eng of\Eng Dera\Eng Sacha\Hin sauda\Hin sirsa\Hin open\Eng free\Eng coaching\Eng center\Eng for\Eng needy\Eng people\Eng @\O gurmeetramrahim\Eng http\Eng …\O ,84,positive
19,1134465147882205184,@Pavancharan24 @NaaIsm @vekuvakiranam I believe this is not fake. Let's fight for a cause not the flaws. Please bhaiyya.,@\O Pavancharan24\Hin @\O NaaIsm\Hin @\O vekuvakiranam\Hin I\Hin believe\Eng this\Eng is\Eng not\Eng fake\Eng .\O Let's\Eng fight\Eng for\Eng a\Eng cause\Eng not\Eng the\Eng flaws\Eng .\O Please\Hin bhaiyya\Hin .\O ,87,neutral
20,1132642698115067904,@rssurjewala Vote pe dhayan de en sab bato se vote nahi milta     Hindu Muslim caste pe dhayan de     Bina vote bank ke… https//t    co/3RB9zsZ4M3,@\O rssurjewala\Eng Vote\Hin pe\Hin dhayan\Hin de\Hin en\Hin sab\Hin bato\Hin se\Hin vote\Hin nahi\Hin milta\Hin Hindu\Hin Muslim\Eng caste\Eng pe\Hin dhayan\Hin de\Hin Bina\Hin vote\Eng bank\Hin ke\Eng …\O https\Eng //\O t\Eng co\Eng /\O 3RB9zsZ4M3\Eng ,93,neutral
21,1134541616956370944,RT @MbVk18 Pakistan WC start hone se Pehle bol Raha tha Sab match Aise khelenge jaise India ke Against khelte h Gaand main se hawa nikal…,RT\Eng @\O MbVk18\Eng Pakistan\Eng WC\Eng start\Eng hone\Eng se\Hin Pehle\Hin bol\Hin Raha\Hin tha\Hin Sab\Hin match\Hin Aise\Hin khelenge\Hin jaise\Hin India\Hin ke\Eng Against\Eng khelte\Hin h\Hin Gaand\Hin main\Hin se\Hin hawa\Hin nikal\Hin …\O ,107,negative
22,1135051852062646272,lanat on your views and also upon u 1000000 times may u feel better now Hypocrate https//t.co/1xmdKcJvl7,lanat\Hin on\Eng your\Eng views\Eng and\Eng also\Eng upon\Eng u\Hin 1000000\O times\Eng may\Eng u\Eng feel\Eng better\Eng now\Eng Hypocrate\Eng https\Eng //\O t\Eng .\O co\Hin /\O 1xmdKcJvl7\Eng ,119,negative
23,1134808687518707713,Mahoday bahut bahut badhai jai hind Jai jawan Jai Kisaan azaade hind manish fauji Gareebo ke khoon paseene ki k… https//t.co/vsaUq8UyIx,Mahoday\Hin bahut\Hin bahut\Hin badhai\Hin jai\Hin hind\Hin Jai\Hin jawan\Hin Jai\Hin Kisaan\Hin azaade\Hin hind\Hin manish\Eng fauji\Hin Gareebo\Hin ke\Hin khoon\Hin paseene\Hin ki\Hin k\Eng …\O https\Eng //\O t\Eng .\O co\Hin /\O vsaUq8UyIx\Hin ,121,positive
24,1134511131114975233,@TheSamirAbbas Hadd hai ye ladki pagal hai . Pagal ka arth hai mentally disturbed. Ranchi ya agra,@\O TheSamirAbbas\Eng Hadd\Hin hai\Hin ye\Hin ladki\Hin pagal\Hin hai\Hin .\O Pagal\Hin ka\Hin arth\Hin hai\Hin mentally\Eng disturbed\Eng .\O Ranchi\Eng ya\Hin agra\Hin ,126,negative
25,1132921949422645248,@AnushkaSharma @Sukhbir_Singer @imVkohli Bus ab hamari team jitegi hi Kyonki Anushka and Sukhnir                Dual??? God bless all,@\O AnushkaSharma\Hin @\O Sukhbir\Hin _\O Singer\Eng @\O imVkohli\Eng Bus\Hin ab\Hin hamari\Hin team\Hin jitegi\Hin hi\Hin Kyonki\Hin Anushka\Hin and\Eng Sukhnir\Hin Dual\Hin ???\O God\Hin bless\Eng all\Eng ,128,positive
26,1134558584694378498,RT @iamrajeshburman Watch #BhabijiGharParHai exciting episode on 3jun-5jun.Its Sir Salman Khan Special #Bharat at #Bhabiji with his #Madam…,RT\Hin @\O iamrajeshburman\Hin Watch\Hin #\O BhabijiGharParHai\Hin exciting\Hin episode\Eng on\Eng 3jun-5jun\Eng .\O Its\Eng Sir\Eng Salman\Eng Khan\Eng Special\Hin #\O Bharat\Hin at\Hin #\O Bhabiji\Hin with\Eng his\Eng #\O Madam\Eng …\O ,134,neutral
27,1134476886082560000,@AsliVikrant007 @Fake_Acc18 @vikrantgupta73 @CricTalk Yeh kaunsa Naya Pokemon hai?,@\O AsliVikrant007\Eng @\O Fake\Eng _\O Acc18\Eng @\O vikrantgupta73\Eng @\O CricTalk\Hin Yeh\Hin kaunsa\Hin Naya\Hin Pokemon\Eng hai\Hin ?\O ,144,neutral
28,1133858253249679365,@SureshChavhanke Abe kutte ki sakal k musalmaan ki wazah se tere ghar ki roti chal rhi hai tere andar dam hai toh 5… https//t    co/2DjVQYvT8y,@\O SureshChavhanke\Hin Abe\Hin kutte\Hin ki\Hin sakal\Hin k\Hin musalmaan\Hin ki\Hin wazah\Eng se\Hin tere\Hin ghar\Hin ki\Hin roti\Hin chal\Hin rhi\Hin hai\Hin tere\Hin andar\Hin dam\Hin hai\Hin toh\Hin 5…\O https\Eng //\O t\Eng co\Eng /\O 2DjVQYvT8y\Eng ,145,negative
29,1134936732527407104,RT @is_salsu Not happy with appointments so far all I see is Men getting appointed. What about women? Women ain’t good as SSGs? I’m watch…,RT\Eng @\O is\Eng _\O salsu\Hin Not\Hin happy\Eng with\Eng appointments\Eng so\Eng far\Eng all\Eng I\Eng see\Hin is\Hin Men\Hin getting\Eng appointed\Eng .\O What\Eng about\Eng women\Eng ?\O Women\Eng ain\Eng ’\O t\Eng good\Eng as\Eng SSGs\Eng ?\O I\Hin ’\O m\Eng watch\Eng …\O ,149,negative
30,1133929268834996224,Bhale hi India or Pakistan k beech cricket world cup ka match ho lekin dekhunga to m #JCBkiKhudaai hi So much fun… https//t    co/xL6H2UYKiv,Bhale\Hin hi\Hin India\Hin or\Eng Pakistan\Eng k\Eng beech\Eng cricket\Eng world\Eng cup\Hin ka\Hin match\Hin ho\Hin lekin\Hin dekhunga\Hin to\Hin m\Hin #\O JCBkiKhudaai\Hin hi\Hin So\Hin much\Eng fun\Eng …\O https\Eng //\O t\Eng co\Eng /\O xL6H2UYKiv\Eng ,154,neutral
31,1134493959697420289,@asif_na88 Loru singh tera bap jo brt peshawer par laga raha hai vo teri maa k phudday ki kamayi hai ya baap ki gand ki?,@\O asif\Eng _\O na88\Eng Loru\Eng singh\Hin tera\Hin bap\Hin jo\Hin brt\Eng peshawer\Hin par\Hin laga\Hin raha\Hin hai\Hin vo\Hin teri\Hin maa\Hin k\Hin phudday\Hin ki\Hin kamayi\Hin hai\Hin ya\Hin baap\Hin ki\Hin gand\Hin ki\Hin ?\O ,170,negative
32,1134507956974698496,@BeingSalmanKhan It means sidhi sadhi ladki best couple,@\O BeingSalmanKhan\Eng It\Eng means\Eng sidhi\Hin sadhi\Hin ladki\Hin best\Eng couple\Eng ,173,positive
33,1134332815372214274,#NoTobaccoDay Tambaku par chetavni likhi hoti hai hi ki ise khane se cancer Hota Hai lekin Sarkar eyes band karane… https//t.co/DY828ztz8q,#\O NoTobaccoDay\Hin Tambaku\Eng par\Hin chetavni\Hin likhi\Hin hoti\Hin hai\Hin hi\Hin ki\Hin ise\Hin khane\Hin se\Hin cancer\Eng Hota\Hin Hai\Hin lekin\Hin Sarkar\Hin eyes\Hin band\Hin karane\Hin …\O https\Eng //\O t\Eng .\O co\Eng /\O DY828ztz8q\Eng ,181,negative
34,1134389761475563521,RT @khannargt The only thing that i want in my life is to see you happy and always smile💛 Love you to the moon and back J.💘 #repost cuz i…,RT\Hin @\O khannargt\Hin The\Hin only\Eng thing\Eng that\Eng i\Hin want\Eng in\Eng my\Eng life\Hin is\Eng to\Eng see\Eng you\Eng happy\Eng and\Eng always\Eng smile\Eng 💛\O Love\Hin you\Hin to\Eng the\Eng moon\Eng and\Eng back\Eng J\Eng .💘\O #\O repost\Eng cuz\Eng i\Hin …\O ,183,positive
35,1134870983922388994,RT @anjaliicreation Bilal- yeh sab mujhpr rely kar rahe hai D fahad Abb toh saari industry tumpr rely karegi beta our boy making us…,RT\Eng @\O anjaliicreation\Eng Bilal\Eng -\O yeh\Hin sab\Hin mujhpr\Hin rely\Hin kar\Hin rahe\Hin hai\Hin D\Hin fahad\Hin Abb\Hin toh\Hin saari\Hin industry\Eng tumpr\Hin rely\Hin karegi\Hin beta\Hin our\Hin boy\Eng making\Eng us\Eng …\O ,185,negative
36,1135032378370535424,RT @DeepStateExpose @realDonaldTrump GRAB A COPY OF MY CRITICALLY ACCLAIMED #1 BEST SELLER 'HISTORY OF THE DEEP STATE'!!! Ebook format i…,RT\Eng @\O DeepStateExpose\Eng @\O realDonaldTrump\Eng GRAB\Eng A\Hin COPY\Eng OF\Hin MY\Hin CRITICALLY\Eng ACCLAIMED\Eng #1\O BEST\Eng SELLER\Eng '\O HISTORY\Eng OF\Hin THE\Hin DEEP\Hin STATE\Hin '!!!\O Ebook\Eng format\Eng i\Eng …\O ,186,positive
37,1134722769545904129,RT @Being_Zeeshan09 Handsome Hunk 😎🔥💪🏻 @BeingSalmanKhan Bhaijaan Masha Allah Zabardast Fantastic Mind Blowing Awesome Bhaijan 👌♥♥🔥 #Bh…,RT\Eng @\O Being\Eng _\O Zeeshan09\Eng Handsome\Eng Hunk\Eng 😎🔥💪🏻\O @\O BeingSalmanKhan\Hin Bhaijaan\Hin Masha\Hin Allah\Hin Zabardast\Eng Fantastic\Eng Mind\Eng Blowing\Hin Awesome\Hin Bhaijan\Hin 👌♥♥🔥\O #\O Bh\Hin …\O ,190,positive
38,1134885808215740416,RT @UrvashiJaiswal7 Bin tere bin tere bin tere koi kharish h hawaon mein bin tere Please @justvoot @anupkofficial bring them back together…,RT\Eng @\O UrvashiJaiswal7\Eng Bin\Eng tere\Hin bin\Hin tere\Hin bin\Hin tere\Hin koi\Hin kharish\Hin h\Hin hawaon\Hin mein\Hin bin\Hin tere\Hin Please\Hin @\O justvoot\Eng @\O anupkofficial\Eng bring\Eng them\Eng back\Eng together\Eng …\O ,194,neutral
39,1132169603843481600,Narendra Modi Ji Badhayi Ho... Varanasi ka niwasi hu Aur Hamare ilake ka ek sadak Kafi din se nahi ban Raha hai kr… https//t.co/XGSn8jIpCz,Narendra\Eng Modi\Hin Ji\Hin Badhayi\Hin Ho\Hin ...\O Varanasi\Hin ka\Hin niwasi\Hin hu\Hin Aur\Hin Hamare\Hin ilake\Hin ka\Hin ek\Hin sadak\Hin Kafi\Hin din\Hin se\Hin nahi\Hin ban\Hin Raha\Hin hai\Hin kr\Eng …\O https\Eng //\O t\Eng .\O co\Eng /\O XGSn8jIpCz\Hin ,196,neutral
40,1132213161313144833,RT @Qasimalitariq soch raha hu is baar uski birthday par gift me ek plastic ka dil de du usse khelti bhi rahegi aur tootega bhi nahi.,RT\Eng @\O Qasimalitariq\Eng soch\Hin raha\Hin hu\Hin is\Hin baar\Hin uski\Hin birthday\Hin par\Eng gift\Eng me\Hin ek\Eng plastic\Eng ka\Hin dil\Hin de\Hin du\Hin usse\Hin khelti\Hin bhi\Hin rahegi\Hin aur\Hin tootega\Hin bhi\Hin nahi\Hin .\O ,200,negative
41,1134216858754637825,@Itz_aziz__ Congress ne ye nirnay liya hai ki anchor agar insaan ho to jae Bhokne wale kutte ho jaise ki Amish sad… https//t.co/uoplZP0NPo,@\O Itz\Eng _\O aziz\Eng __\O Congress\Hin ne\Hin ye\Hin nirnay\Hin liya\Hin hai\Hin ki\Hin anchor\Hin agar\Hin insaan\Hin ho\Hin to\Hin jae\Hin Bhokne\Hin wale\Hin kutte\Hin ho\Hin jaise\Hin ki\Hin Amish\Hin sad\Eng …\O https\Eng //\O t\Eng .\O co\Hin /\O uoplZP0NPo\Hin ,202,negative
42,1131878760305897474,Time  main aya tha tm pubg khel ri the https//t.co/nvWZsU6ibU,Time\Hin main\Hin aya\Hin tha\Hin tm\Eng pubg\Hin khel\Hin ri\Hin the\Eng https\Eng //\O t\Eng .\O co\Hin /\O nvWZsU6ibU\Hin ,203,neutral
43,1132347026878947329,@Kasheer_suneel Poora khandan terrorist hai aur ye khud khujliwala kutta 😒 kutto plz maaf karna tumhari insult krne… https//t.co/AG0B6A3XFw,@\O Kasheer\Hin _\O suneel\Hin Poora\Hin khandan\Eng terrorist\Eng hai\Hin aur\Hin ye\Hin khud\Hin khujliwala\Hin kutta\Hin 😒\O kutto\Hin plz\Hin maaf\Hin karna\Hin tumhari\Hin insult\Hin krne\Eng …\O https\Eng //\O t\Eng .\O co\Eng /\O AG0B6A3XFw\Eng ,210,positive
44,1131101591442866176,Jab tak Ramji k charno me girkar mangoge nahi paoge nhi ! Bhole baba ne hath khde kar liye     Main unke khne pe nhi… https//t    co/fMEP7RdPbS,Jab\Hin tak\Hin Ramji\Hin k\Hin charno\Hin me\Hin girkar\Hin mangoge\Hin nahi\Hin paoge\Hin nhi\Hin !\O Bhole\Hin baba\Hin ne\Hin hath\Hin khde\Hin kar\Hin liye\Hin Main\Hin unke\Hin khne\Hin pe\Hin nhi\Eng …\O https\Eng //\O t\Eng co\Eng /\O fMEP7RdPbS\Eng ,232,negative
45,1134508247023607808,RT @trulybbh Soompi Award 2019 Best variety show Busted! Best Idol Actor Sehun Best soundtrack Live OST Best couple  Kyungsoo & N…,RT\Eng @\O trulybbh\Eng Soompi\Eng Award\Eng 2019\O Best\Eng variety\Eng show\Eng Busted\Eng !\O Best\Eng Idol\Eng Actor\Hin Sehun\Hin Best\Hin soundtrack\Eng Live\Eng OST\Eng Best\Eng couple\Eng Kyungsoo\Hin &\O N\Hin …\O ,243,negative
46,1134425040798322690,@smritiirani ji bahut bahut subhkamnaye! hope you scale new heights in near future. #CabinetAnnouncement2019,@\O smritiirani\Hin ji\Hin bahut\Hin bahut\Hin subhkamnaye\Hin !\O hope\Hin you\Eng scale\Eng new\Eng heights\Eng in\Eng near\Eng future\Eng .\O #\O CabinetAnnouncement2019\Eng ,255,negative
47,1133355307583791104,@RubikaLiyaquat Rubika Di     Umar mein aap se kaafi chota hun     Par I am a big fan of yours     Kabhi naseeb ne chaha to… https//t    co/n6lEWZEr56,@\O RubikaLiyaquat\Hin Rubika\Eng Di\Hin Umar\Hin mein\Hin aap\Hin se\Hin kaafi\Hin chota\Hin hun\Hin Par\Hin I\Hin am\Eng a\Eng big\Eng fan\Eng of\Eng yours\Eng Kabhi\Hin naseeb\Hin ne\Hin chaha\Hin to\Hin …\O https\Eng //\O t\Eng co\Eng /\O n6lEWZEr56\Eng ,276,neutral
48,1133638328140599297,Yr 90 k dor ka ek song ha jis ma Adnan Sami na Mujahid k part play keya tha. Adnan Sami ka wo song yad ha to zaror… https//t.co/GTKLZQ3sG2,Yr\Eng 90\O k\Hin dor\Hin ka\Hin ek\Hin song\Hin ha\Hin jis\Hin ma\Hin Adnan\Hin Sami\Hin na\Hin Mujahid\Eng k\Eng part\Eng play\Eng keya\Hin tha\Hin .\O Adnan\Hin Sami\Hin ka\Hin wo\Hin song\Eng yad\Hin ha\Hin to\Hin zaror\Eng …\O https\Eng //\O t\Eng .\O co\Eng /\O GTKLZQ3sG2\Eng ,288,neutral
49,1134493340156776450,@RTforINC @yadavdimples Mp chunav me evm ne jitaya janta to Congress ko vote Kiya tha,@\O RTforINC\Eng @\O yadavdimples\Eng Mp\Hin chunav\Hin me\Hin evm\Hin ne\Hin jitaya\Hin janta\Hin to\Eng Congress\Eng ko\Hin vote\Hin Kiya\Hin tha\Hin ,289,neutral
50,1134867714697285638,@Jessicalynn_PhD You’re awesome!!  Much love and hope to see APSA!,@\O Jessicalynn\Eng _\O PhD\Eng You\Hin ’\O re\Eng awesome\Eng !!\O Much\Hin love\Eng and\Eng hope\Eng to\Eng see\Hin APSA\Hin !\O ,292,positive
51,1133213336479264773,Bhai sree Narendra Modi ji aapko hamari or se bahot bahot badhai ab AAP ko mandir or Dhara 310 ka kaam karna he or… https//t   co/hMrRyKZiBc,Bhai\Hin sree\Hin Narendra\Eng Modi\Hin ji\Hin aapko\Hin hamari\Hin or\Hin se\Hin bahot\Hin bahot\Hin badhai\Hin ab\Hin AAP\Hin ko\Hin mandir\Hin or\Hin Dhara\Hin 310\O ka\Hin kaam\Hin karna\Hin he\Hin or\Eng …\O https\Eng //\O t\Eng co\Hin /\O hMrRyKZiBc\Hin ,293,neutral
52,1134840329474064384,@Ustadjii oye hoye nikey dar eh te seedhi chaper hi hai ve tere moo te. main te sun v nahi sakda ab kahin abey se… https//t.co/sPJ739l3BN,@\O Ustadjii\Hin oye\Hin hoye\Hin nikey\Hin dar\Hin eh\Hin te\Hin seedhi\Hin chaper\Hin hi\Hin hai\Hin ve\Hin tere\Hin moo\Hin te\Hin .\O main\Hin te\Hin sun\Hin v\Hin nahi\Hin sakda\Hin ab\Hin kahin\Hin abey\Hin se\Hin …\O https\Eng //\O t\Eng .\O co\Eng /\O sPJ739l3BN\Eng ,302,positive
53,1133303911069077504,@Megha94507473 Reminds me famous dialogue of Welcome movie Le Saudi Arabia - 4-5 billion Kya tera baap chood ke Gaya tha ya Teri maa?,@\O Megha94507473\Eng Reminds\Eng me\Eng famous\Eng dialogue\Eng of\Eng Welcome\Eng movie\Eng Le\Hin Saudi\Eng Arabia\Eng -\O 4-5\O billion\Eng Kya\Hin tera\Hin baap\Hin chood\Hin ke\Hin Gaya\Hin tha\Hin ya\Hin Teri\Hin maa\Hin ?\O ,306,negative
54,1134532824277479424,Humare desh k bachoon ko aboard jane ki jarurt hi kyun padhegionly for good job good salary. Isn't India worth tha… https//t.co/ptLo6jboxi,Humare\Hin desh\Hin k\Hin bachoon\Hin ko\Hin aboard\Eng jane\Hin ki\Hin jarurt\Hin hi\Hin kyun\Hin padhegionly\Hin for\Hin good\Eng job\Eng good\Eng salary\Eng .\O Isn't\Eng India\Eng worth\Eng tha\Eng …\O https\Eng //\O t\Eng .\O co\Eng /\O ptLo6jboxi\Hin ,307,negative
55,1134845131180265472,@yadavdimples @RahulGandhi BJP wale to bunglow se chori ki hui nal ki tuti wale ko v nikala tha... sabke achche din aayenge...,@\O yadavdimples\Eng @\O RahulGandhi\Eng BJP\Eng wale\Eng to\Eng bunglow\Eng se\Hin chori\Hin ki\Hin hui\Hin nal\Hin ki\Hin tuti\Hin wale\Hin ko\Hin v\Eng nikala\Hin tha\Hin ...\O sabke\Hin achche\Hin din\Hin aayenge\Hin ...\O ,310,positive
